CFDA PROGRAM NUMBER,STATE APPLICATION IDENTIFIER (SAI NUMBER),RECIPIENT NAME,RECIPIENT CITY CODE,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL AWARD IDENTIFIER NUMBER,FEDERAL FUNDING SIGN,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING SIGN,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING SIGN,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE CODE,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
12.910,SAI NOT AVAILABLE,RENSSELAER POLYTECHNIC INSTITU,75484,TROY,083,RENSSELAER COUNTY,NEW YORK,121803522,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00111010004,NA,309618,NA,0,NA,309618,12/22/2009,12/22/2009,12/21/2010,project grant  (B),action-by-action reporting,NA,NA,3675484,NEW YORK,TROY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NEW YORK,ARMY KNOWLEDGE ONLINE
12.607,SAI NOT AVAILABLE,FORT ORD REUSE AUTHORITY,25198,FORT ORD (ORD),053,MONTEREY COUNTY,CALIFORNIA,939336006,Government codes: State government,new assistance action,17,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010011,NA,460000,NA,0,NA,460000,12/17/2009,01/01/2010,05/31/2011,project grant  (B),action-by-action reporting,NA,NA,0625198,CALIFORNIA,FORT ORD (ORD),"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,CALIFORNIA,BASE CLOSURE (CL)
12.910,SAI NOT AVAILABLE,THE REGENTS OF THE UNIVERSITY,44000,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00111010003,NA,1050000,NA,0,NA,1050000,11/20/2009,11/20/2009,06/20/2010,project grant  (B),action-by-action reporting,NA,NA,0644000,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,ELECTROMAGNETICALLY AMPLIFIED SONOLUMINESCENCE
12.910,SAI NOT AVAILABLE,THE REGENTS OF THE UNIVERSITY,44000,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,W31P4Q1010008,NA,298425,NA,0,NA,298425,12/22/2009,12/22/2009,02/29/2012,project grant  (B),action-by-action reporting,NA,NA,0644000,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,ELECTROSTATICALLY DRIVEN MICRO ROTARY STAGES ON CONDUCTIVE LIQUID BEARINGS AND APPLICATIONS FOR OPTICAL DATA TRANSMISSION
12.910,SAI NOT AVAILABLE,THE REGENTS OF THE UNIVERSITY,57526,PLACENTIA,059,ORANGE COUNTY,CALIFORNIA,920935004,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00111010005,NA,200000,NA,0,NA,200000,11/12/2009,11/12/2009,11/12/2010,project grant  (B),action-by-action reporting,NA,NA,0657526,CALIFORNIA,PLACENTIA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,CONTACT LENS BINOCULAR TELESCOPE
12.910,SAI NOT AVAILABLE,GEORGIA TECH RESEARCH CORPORAT,04000,ATLANTA,121,FULTON COUNTY,GEORGIA,303320001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,W31P4Q0910012   0002,NA,1500000,NA,0,NA,1500000,12/30/2009,09/30/2009,05/30/2011,project grant  (B),action-by-action reporting,NA,NA,1304000,GEORGIA,ATLANTA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,GEORGIA,ZENO-BASED OPTO-ELECTRONICS (ZOE)
12.910,SAI NOT AVAILABLE,TRUSTEES OF THE SMITH COLLEGE,46330,NORTHAMPTON,015,HAMPSHIRE COUNTY,MASSACHUSETTS,010636302,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00110910003   0001,NA,282525,NA,0,NA,282525,10/22/2009,12/01/2008,10/21/2010,project grant  (B),action-by-action reporting,NA,NA,2546330,MASSACHUSETTS,NORTHAMPTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,23 MATHEMATICAL CHALLENGES PROGRAM
12.910,SAI NOT AVAILABLE,MASSACHUSETTS INSTITUTE OF TEC,11000,CAMBRIDGE,017,MIDDLESEX COUNTY,MASSACHUSETTS,021394301,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,W31P4Q1010005,NA,1508753,NA,0,NA,1508753,11/12/2009,11/12/2009,07/31/2011,project grant  (B),action-by-action reporting,NA,NA,2511000,MASSACHUSETTS,CAMBRIDGE,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,CHIP-SCALE VACUUM MICRO PUMPS (CSVMP)
12.910,SAI NOT AVAILABLE,DUKE UNIVERSITY,19000,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Private: private higher education,new assistance action,04,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR00111010007,NA,299977,NA,0,NA,299977,12/10/2009,12/10/2009,09/09/2010,project grant  (B),action-by-action reporting,NA,NA,3719000,NORTH CAROLINA,DURHAM,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NORTH CAROLINA,ENTANGLEMET OF PHOTON ORBITAL ANGULAR MOMENTUM
12.910,SAI NOT AVAILABLE,ANALYTICAL SOFTWARE INC,45744,MCKINNEY,085,COLLIN COUNTY,TEXAS,750437564,Private: profit organization,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,FA23861014025,NA,50000,NA,0,NA,50000,11/16/2009,11/17/2009,03/01/2010,project grant  (B),action-by-action reporting,NA,NA,4845744,TEXAS,MCKINNEY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,TEXAS,"TAS::57 3600:XXX BASIC RESEARCH FOR AOARD 104025 MAGIC 2010 CHIBA TEAM  , DATED 27 OCT 09 (THE GRANTEE'S TECHNICAL PROPOSAL) AND THE RESEARCH TERMS"
